evaluation_dataset,model,scenario,threshold,sample_size,total_churners,customers_contacted,contact_rate,true_churners_contacted,false_interventions,missed_churners,true_nonchurners_not_contacted,campaign_precision,churn_capture_rate,expected_retained_customers,expected_retained_value,contact_cost,false_positive_cost,fixed_campaign_cost,total_campaign_cost,net_profit,roi,profit_per_contacted_customer,profit_per_1000_customers
test_exploratory,Random Forest,conservative,0.0,94669,8514,94669,1.0,8514,86155,0,0,0.08993440302527754,1.0,851.4000000000001,51084.00000000001,757352.0,86155.0,0.0,843507.0,-792423.0,-0.9394385583047917,-8.370459178823058,-8370.459178823057
test_exploratory,Random Forest,conservative,0.01,94669,8514,94669,1.0,8514,86155,0,0,0.08993440302527754,1.0,851.4000000000001,51084.00000000001,757352.0,86155.0,0.0,843507.0,-792423.0,-0.9394385583047917,-8.370459178823058,-8370.459178823057
test_exploratory,Random Forest,conservative,0.02,94669,8514,91903,0.9707824102927041,8514,83389,0,2766,0.09264115426047027,1.0,851.4000000000001,51084.00000000001,735224.0,83389.0,0.0,818613.0,-767529.0,-0.9375968864408457,-8.351511920176709,-8107.500871457393
test_exploratory,Random Forest,conservative,0.03,94669,8514,86507,0.9137838151876538,8514,77993,0,8162,0.09841978105818026,1.0,851.4000000000001,51084.00000000001,692056.0,77993.0,0.0,770049.0,-718965.0,-0.9336613644066806,-8.311061532592738,-7594.5135155119415
test_exploratory,Random Forest,conservative,0.04,94669,8514,82685,0.8734115708415637,8513,74172,1,11983,0.10295700550281188,0.9998825463941743,851.3000000000001,51078.00000000001,661480.0,74172.0,0.0,735652.0,-684574.0,-0.930567714082202,-8.279300961480317,-7231.237258236593
test_exploratory,Random Forest,conservative,0.05,94669,8514,79150,0.8360709419134036,8511,70639,3,15516,0.1075300063171194,0.9996476391825229,851.1,51066.0,633200.0,70639.0,0.0,703839.0,-652773.0,-0.9274464756854905,-8.247289955780165,-6895.3194815620745
test_exploratory,Random Forest,conservative,0.06,94669,8514,75691,0.799533110099399,8509,67182,5,18973,0.11241759258035962,0.9994127319708715,850.9000000000001,51054.00000000001,605528.0,67182.0,0.0,672710.0,-621656.0,-0.9241069703141026,-8.213076851937483,-6566.626878914956
test_exploratory,Random Forest,conservative,0.07,94669,8514,71288,0.7530236930779876,8502,62786,12,23369,0.1192627090113343,0.9985905567300916,850.2,51012.0,570304.0,62786.0,0.0,633090.0,-582078.0,-0.9194237786096764,-8.16516103692066,-6148.559718598485
test_exploratory,Random Forest,conservative,0.08,94669,8514,66226,0.6995531800272529,8497,57729,17,28426,0.1283030833811494,0.9980032887009631,849.7,50982.0,529808.0,57729.0,0.0,587537.0,-536555.0,-0.913227592475027,-8.101878416331955,-5667.6948103391815
test_exploratory,Random Forest,conservative,0.09,94669,8514,61541,0.650064963187527,8481,53060,33,33095,0.1378105653141808,0.9961240310077519,848.1,50886.0,492328.0,53060.0,0.0,545388.0,-494502.0,-0.9066976171092873,-8.035326042800735,-5223.483928213037
test_exploratory,Random Forest,conservative,0.1,94669,8514,58538,0.6183439140584563,8477,50061,37,36094,0.14481191704533808,0.9956542165844492,847.7,50862.0,468304.0,50061.0,0.0,518365.0,-467503.0,-0.9018799494564641,-7.986316580682633,-4938.290253409246
test_exploratory,Random Forest,conservative,0.11,94669,8514,55427,0.5854820479776907,8463,46964,51,39191,0.15268731845490466,0.9940098661028893,846.3000000000001,50778.00000000001,443416.0,46964.0,0.0,490380.0,-439602.0,-0.8964517313104123,-7.931188770815668,-4643.56864443482
test_exploratory,Random Forest,conservative,0.12,94669,8514,51300,0.541888052055055,8432,42868,82,43287,0.1643664717348928,0.9903688043222927,843.2,50592.0,410400.0,42868.0,0.0,453268.0,-402676.0,-0.8883839141523338,-7.8494346978557505,-4253.514878154411
test_exploratory,Random Forest,conservative,0.13,94669,8514,47736,0.5042410926491249,8400,39336,114,46819,0.17596782302664657,0.9866102889358703,840.0,50400.0,381888.0,39336.0,0.0,421224.0,-370824.0,-0.8803486980798815,-7.768225238813474,-3917.058382363815
test_exploratory,Random Forest,conservative,0.14,94669,8514,46055,0.48648448805839295,8392,37663,122,48492,0.18221691455867983,0.9856706600892647,839.2,50352.0,368440.0,37663.0,0.0,406103.0,-355751.0,-0.8760117507134889,-7.724481598089241,-3757.8404757629214
test_exploratory,Random Forest,conservative,0.15,94669,8514,44214,0.46703778427996495,8369,35845,145,50310,0.18928393721445697,0.9829692271552737,836.9000000000001,50214.00000000001,353712.0,35845.0,0.0,389557.0,-339343.0,-0.8710997363672068,-7.6750124394988015,-3584.5208040646885
test_exploratory,Random Forest,conservative,0.16,94669,8514,40209,0.42473248898794747,8309,31900,205,54255,0.20664527842025418,0.9759220108057317,830.9000000000001,49854.00000000001,321672.0,31900.0,0.0,353572.0,-303718.0,-0.8589990157591665,-7.553483051058221,-3208.209656804234
test_exploratory,Random Forest,conservative,0.17,94669,8514,38519,0.4068808163179077,8288,30231,226,55924,0.21516654118746592,0.9734554850833921,828.8000000000001,49728.00000000001,308152.0,30231.0,0.0,338383.0,-288655.0,-0.8530422627614271,-7.493834211687738,-3049.097381402571
test_exploratory,Random Forest,conservative,0.18,94669,8514,37457,0.39566278295957497,8283,29174,231,56981,0.22113356648957472,0.9728682170542635,828.3000000000001,49698.00000000001,299656.0,29174.0,0.0,328830.0,-279132.0,-0.8488641547304078,-7.452065034572977,-2948.5047903748855
test_exploratory,Random Forest,conservative,0.19,94669,8514,35890,0.37911037404007647,8269,27621,245,58534,0.2303984396767902,0.9712238665727038,826.9000000000001,49614.00000000001,287120.0,27621.0,0.0,314741.0,-265127.0,-0.842365627611274,-7.387210922262469,-2800.568295851863
test_exploratory,Random Forest,conservative,0.2,94669,8514,33922,0.3583221540314147,8243,25679,271,60476,0.24299864394788043,0.9681700728212356,824.3000000000001,49458.00000000001,271376.0,25679.0,0.0,297055.0,-247597.0,-0.8335055797747892,-7.299009492364837,-2615.396803599911
test_exploratory,Random Forest,conservative,0.21,94669,8514,31614,0.3339424732488988,8222,23392,292,62763,0.2600746504713102,0.9657035470988959,822.2,49332.0,252912.0,23392.0,0.0,276304.0,-226972.0,-0.8214575250448781,-7.179477446700829,-2397.5324551859635
test_exploratory,Random Forest,conservative,0.22,94669,8514,29411,0.3106719200583084,8190,21221,324,64934,0.27846724014824387,0.9619450317124736,819.0,49140.0,235288.0,21221.0,0.0,256509.0,-207369.0,-0.8084277744640539,-7.050729318962293,-2190.463615333425
test_exploratory,Random Forest,conservative,0.23,94669,8514,27529,0.2907921283630333,8156,19373,358,66782,0.2962693886447019,0.9579516091143998,815.6,48936.0,220232.0,19373.0,0.0,239605.0,-190669.0,-0.795763861355147,-6.926114279487086,-2014.0595126176465
