model,metric,lower_95,median,upper_95
Random Forest,roc_auc,0.9632970837601723,0.9654176910604884,0.9674673503930548
Random Forest,average_precision,0.8345761548751099,0.842659498481294,0.8501540470330857
Random Forest,f1_churn,0.7312770735440528,0.7399355307169185,0.7465997717922735
Azure AutoML Voting Ensemble,roc_auc,0.9743522192732229,0.9759081305375377,0.9773903848843628
Azure AutoML Voting Ensemble,average_precision,0.8867742917722505,0.8919382573760244,0.8968363947787439
Azure AutoML Voting Ensemble,f1_churn,0.8153457232522779,0.8213557355572639,0.8271043304158864
